Đề_thi	N	O
rất	R	B-LEVEL
khó	A	I-LEVEL
.	CH	O

Đề_thi	N	O
phù_hợp	N	B-LEVEL
với	E	O
thí_sinh	N	O
.	CH	O

Đề_thi	N	O
vừa_sức	A	B-LEVEL
nhưng	C	O
khó	A	B-LEVEL
đạt	V	O
điểm	N	O
cao	A	O
và	Cc	O
có	V	O
tính	N	O
ứng_dụng	N	B-SKILL
tốt	A	I-SKILL
.	CH	O

Năm	N	B-YEAR
đầu	N	I-YEAR
thi	N	O
trắc_nghiệm	N	B-STRUC
,	CH	O
đề_thi	N	O
khá	R	B-LEVEL
nhẹ_nhàng	A	I-LEVEL
,	CH	O
vừa_sức	A	B-LEVEL
và	Cc	O
có	V	O
độ	N	O
phân_hóa	V	B-DISC
trung_bình	A	I-DISC
.	CH	O

Đề	N	O
Toán	N	O
năm	N	B-YEAR
2017	M	I-YEAR
có	V	O
độ	N	O
phân_hóa	V	B-DISC
cao	A	I-DISC
,	CH	O
với	E	O
nhiều	L	O
câu	N	B-STRUC
vận_dụng	V	B-SKILL
khó	A	B-LEVEL
và	Cc	O
mới	A	O
.	CH	O

Năm	N	B-YEAR
đầu	N	I-YEAR
thi	N	O
trắc_nghiệm	N	B-STRUC
,	CH	O
đề_thi	N	O
khá	R	B-LEVEL
nhẹ_nhàng	A	I-LEVEL
và	Cc	O
mang	V	O
tính_chất	N	O
làm_quen	V	B-LEVEL
.	CH	O

Năm	N	B-YEAR
2017	M	I-YEAR
là	V	O
năm	N	B-YEAR
đầu	N	I-YEAR
thi	N	O
trắc_nghiệm	N	B-STRUC
nên	C	O
đề_thi	N	O
khá	R	B-LEVEL
dễ	A	I-LEVEL
,	CH	O
có_phần	N	O
lạ	V	B-LEVEL
và	Cc	O
chưa	R	O
phân_hóa	V	B-DISC
sâu	A	I-DISC
.	CH	O

Đề_thi	N	O
vừa_sức	A	B-LEVEL
nhưng	C	O
khó	A	B-LEVEL
đạt	V	O
điểm	N	O
cao	A	O
và	Cc	O
có	V	O
tính	N	O
ứng_dụng	N	B-SKILL
tốt	A	I-SKILL
.	CH	O

Đề_thi	N	O
nhìn_chung	R	O
ở	E	O
mức	N	B-LEVEL
bình_thường	N	I-LEVEL
.	CH	O

Đề_thi	N	O
không	R	O
quá	R	B-LEVEL
khó	A	I-LEVEL
.	CH	O

Đề_thi	N	O
quá	R	B-LEVEL
đơn_giản	A	I-LEVEL
.	CH	O

Vì	C	O
là	V	O
kỳ_thi	N	B-STRUC
mở_đầu	N	O
theo	E	O
hình_thức	N	B-STRUC
trắc_nghiệm	N	I-STRUC
nên	C	O
đề_thi	N	O
không	R	O
quá	R	B-LEVEL
khó	A	I-LEVEL
.	CH	O

Đề_thi	N	O
trắc_nghiệm	N	B-STRUC
lần	Cc	O
đầu	N	O
có	V	O
mức_độ	N	B-LEVEL
nhẹ_nhàng	A	I-LEVEL
và	Cc	O
giúp	V	O
học_sinh	N	O
làm_quen	V	B-LEVEL
với	E	O
cấu_trúc	N	B-STRUC
mới	A	I-STRUC
.	CH	O

Năm	N	B-YEAR
đầu	N	I-YEAR
thi	N	O
trắc_nghiệm	N	B-STRUC
,	CH	O
đề_thi	N	O
khá	R	B-LEVEL
nhẹ_nhàng	A	I-LEVEL
,	CH	O
vừa_sức	A	B-LEVEL
và	Cc	O
có	V	O
độ	N	O
phân_hóa	V	B-DISC
trung_bình	A	I-DISC
.	CH	O

Đề_thi	N	O
THPT_Quốc_gia	N	B-STRUC
môn	N	O
Toán	N	O
năm	N	B-YEAR
2017	M	I-YEAR
vừa_sức	A	B-LEVEL
,	CH	O
có	V	O
độ	N	O
phân_hóa	V	B-DISC
tốt	A	I-DISC
và	Cc	O
là	V	O
năm	N	B-YEAR
đầu	N	I-YEAR
áp_dụng	V	O
hình_thức	N	B-STRUC
trắc_nghiệm	N	I-STRUC
hoàn_toàn	A	O
.	CH	O

Đề_thi	N	O
khá	R	B-LEVEL
khó	A	I-LEVEL
so	N	O
với	E	O
những	L	O
gì	P	O
tôi	P	O
đã	R	O
học	V	O
và	Cc	O
có	V	O
độ	N	O
phân_hóa	V	B-DISC
cao	A	I-DISC
,	CH	O
đúng	R	O
với	E	O
cấp_độ	N	O
.	CH	O

Đề_thi	N	O
vừa_sức	A	B-LEVEL
và	Cc	O
kiến_thức	N	B-STRUC
bám_sát	V	O
chương_trình	N	B-STRUC
sách_giáo_khoa	N	I-STRUC
lớp	N	I-STRUC
12	M	I-STRUC
.	CH	O

Đề_thi	N	O
Toán	N	O
năm	N	B-YEAR
2017	M	I-YEAR
quá	R	B-LEVEL
dễ	A	I-LEVEL
nên	C	O
khả_năng	N	O
phân_hóa	V	B-DISC
kém	A	I-DISC
.	CH	O

Đề_thi	N	O
khó	A	B-LEVEL
.	CH	O

Đề_thi	N	O
khó	A	B-LEVEL
.	CH	O

Kỳ_thi	N	B-STRUC
trắc_nghiệm	N	I-STRUC
lần	Cc	O
đầu	N	O
có	V	O
độ	N	B-LEVEL
khó	A	I-LEVEL
thấp	A	I-LEVEL
và	Cc	O
chủ_yếu	R	O
giúp	V	O
thí_sinh	N	O
thích_nghi	V	O
với	E	O
cấu_trúc	N	B-STRUC
mới	A	I-STRUC
.	CH	O

Đề	N	O
Toán	N	O
năm	N	B-YEAR
2017	M	I-YEAR
có	V	O
độ	N	B-LEVEL
khó	A	I-LEVEL
vừa_phải	A	I-LEVEL
và	Cc	O
phân_hóa	V	B-DISC
tốt	A	I-DISC
đối_với	E	O
học_sinh	N	O
khá	R	O
giỏi	A	O
.	CH	O

Năm	N	B-YEAR
2017	M	I-YEAR
là	V	O
năm	N	B-YEAR
đầu	N	I-YEAR
thi	N	O
trắc_nghiệm	N	B-STRUC
nên	C	O
đề_thi	N	O
nhẹ_nhàng	A	B-LEVEL
,	CH	O
mang	V	O
tính	N	B-LEVEL
làm_quen	V	I-LEVEL
và	Cc	O
ít	R	O
câu	N	B-STRUC
hỏi	N	I-STRUC
lắt_léo	N	B-LEVEL
.	CH	O

Đề_thi	N	O
khá	R	B-LEVEL
dễ	A	I-LEVEL
,	CH	O
độ	N	B-DISC
phân_hóa	V	I-DISC
thấp	A	I-DISC
và	Cc	O
có	V	O
rất	R	O
nhiều	L	O
điểm	N	O
tuyệt_đối	N	O
vì	C	O
chủ_yếu	R	O
kiểm_tra	V	O
kiến_thức	N	B-STRUC
cơ_bản	A	I-STRUC
.	CH	O

Đề_thi	N	O
tương_đối	A	B-LEVEL
khó	A	I-LEVEL
,	CH	O
có	V	O
nhiều	L	O
câu	N	B-STRUC
phân_hóa	V	B-DISC
và	Cc	O
yêu_cầu	N	O
tư_duy	N	B-SKILL
cùng	Cc	O
kỹ_năng	N	B-SKILL
tốt	A	I-SKILL
.	CH	O

Đề	N	O
Toán	N	O
năm	N	B-YEAR
2017	M	I-YEAR
khá	R	B-LEVEL
khó	A	I-LEVEL
và	Cc	O
tăng	V	O
mạnh	A	O
tính	N	B-DISC
phân_loại	V	I-DISC
cũng_như	N	O
tư_duy	N	B-SKILL
vận_dụng	V	I-SKILL
.	CH	O

Đề_thi	N	O
năm	N	B-YEAR
2017	M	I-YEAR
khá	R	B-LEVEL
nhẹ_nhàng	A	I-LEVEL
,	CH	O
vừa_sức	A	B-LEVEL
và	Cc	O
dễ	A	B-LEVEL
đạt	V	O
điểm	N	O
cao	A	O
.	CH	O

Đề_thi	N	O
khó	A	B-LEVEL
và	Cc	O
có	V	O
độ	N	B-DISC
phân_hóa	V	I-DISC
cao	A	I-DISC
.	CH	O

Đề_thi	N	O
năm	N	B-YEAR
